CustomerID,Recency,Frequency,Monetary,Cluster
10189,89,4,2808.58,2
10190,59,2,500.81,3
10191,83,1,282.79,3
10192,49,1,128.68,3
10193,27,13,3482.98,1
10194,6,16,29771.489999999998,0
10195,136,1,600.4200000000001,3
10196,30,15,2919.32,1
10197,22,2,754.88,3
10198,36,2,1540.72,3
10199,25,2,906.44,3
10200,74,5,5946.57,2
10201,21,14,5168.61,1
10202,104,2,1084.29,3
10203,45,13,5401.77,1
10204,18,2,1239.48,3
10205,351,9,7221.9400000000005,2
10206,67,2,850.63,3
10207,336,7,3664.22,2
10208,221,6,3422.5299999999997,2
10209,22,23,41691.36,0
10210,291,8,3717.66,2
10211,32,1,1088.56,3
10212,17,26,30602.2,0
10213,4,11,3160.21,1
10214,13,1,384.62,3
10215,316,7,4687.06,2
10216,258,5,2078.99,2
10217,416,4,2464.62,2
10218,36,17,2868.51,1
10219,52,4,1051.38,3
10220,137,2,448.22,3
10221,24,2,1345.65,3
10222,129,1,439.42,3
10223,9,2,1772.1000000000001,3
10224,17,12,2388.08,1
10225,24,10,3714.25,1
10226,400,6,2270.62,2
10227,266,6,6699.31,2
10228,223,9,8096.47,2
10229,275,6,2815.43,2
10230,19,2,558.87,3
10231,60,13,3072.27,1
10232,16,16,5021.2300000000005,1
10233,9,17,25503.98,0
10234,356,8,3093.37,2
10235,6,19,29308.99,0
10236,48,19,4344.72,1
10237,19,13,4172.2699999999995,1
10238,33,4,901.6899999999999,3
10239,403,6,2234.7,2
10240,20,27,34287.81,0
10241,27,17,30682.74,0
10242,8,1,385.19,3
10243,7,18,7894.44,0
10244,25,28,39170.71,0
10245,49,10,1392.63,1
10246,317,4,1734.56,2
10247,125,2,3861.77,2
10248,367,4,2076.99,2
10249,11,18,19967.43,0
10250,20,18,18151.81,0
10251,17,12,2112.75,1
10252,38,14,6376.47,1
10253,293,4,1644.32,2
10254,270,8,2885.33,2
10255,39,2,403.64,3
10256,40,16,4296.34,1
10257,27,12,3233.05,1
10258,301,5,2947.59,2
10259,103,5,2008.8,2
10260,31,11,3741.21,1
10261,48,19,24028.58,0
10262,10,25,28960.21,0
10263,44,2,454.87,3
10264,92,2,667.86,3
10265,397,6,2298.67,2
10266,12,19,6087.36,1
10267,82,2,2218.5699999999997,3
10268,25,5,3634.25,1
10269,65,5,1799.1100000000001,2
10270,13,12,2149.2400000000002,1
10271,346,9,2992.77,2
10272,390,4,2593.7599999999998,2
10273,90,4,2009.15,2
10274,43,2,515.87,3
10275,247,4,3028.62,2
10276,332,3,1522.82,2
10277,337,6,2027.74,2
10278,17,13,2684.2,1
10279,129,2,1668.93,3
10280,8,19,3812.2400000000002,1
10281,240,4,566.81,2
10282,16,23,35577.12,0
10283,22,24,38322.88,0
10284,8,26,28489.98,0
10285,31,18,21876.44,0
10286,101,1,567.18,3
10287,353,5,3099.46,2
10288,30,10,4384.86,1
10289,7,29,45695.58,0
10290,34,10,2543.64,1
10291,24,18,3964.91,1
10292,132,2,1045.59,3
10293,18,12,2735.0,1
10294,45,11,2315.7200000000003,1
10295,246,3,1672.15,2
10296,346,3,2584.38,2
10297,26,26,24843.99,0
10298,1,17,3702.4,1
10299,263,7,3535.87,2
10300,27,12,2010.37,1
10301,80,1,643.44,3
10302,299,9,8013.43,2
10303,31,4,6512.28,1
10304,11,25,31401.48,0
10305,380,8,6499.13,2
10306,20,16,18953.37,0
10307,216,9,5398.93,2
10308,99,2,844.02,3
10309,289,3,1311.03,2
10310,40,15,5339.53,1
10311,247,5,1793.59,2
10312,32,16,4080.93,1
10313,18,11,2371.48,1
10314,113,1,869.93,3
10315,7,12,2510.64,1
10316,50,2,1006.24,3
10317,45,2,796.9599999999999,3
10318,77,2,1530.47,3
10319,14,26,22784.5,0
10320,14,25,32622.11,0
10321,6,25,39333.04,0
10322,18,27,24520.55,0
10323,398,6,3641.26,2
10324,10,24,34266.02,0
10325,38,13,2939.18,1
10326,112,1,581.77,3
10327,3,27,20355.36,0
10328,16,2,111.44,3
10329,62,3,1979.49,3
10330,13,16,13490.0,0
10331,265,9,7435.09,2
10332,334,8,2802.15,2
10333,34,1,500.48,3
10334,226,8,2117.12,2
10335,23,2,1273.12,3
10336,44,5,4089.19,1
10337,35,5,5211.5599999999995,1
10338,226,3,538.63,3
10339,47,2,798.5,3
10340,24,2,747.22,3
10341,7,16,3427.3,1
10342,25,16,4169.71,1
10343,405,5,3569.1099999999997,2
10344,45,10,4038.11,1
10345,56,2,1187.43,3
10346,115,1,85.96,3
10347,8,15,4408.67,1
10348,292,4,1748.6799999999998,2
10349,286,9,4398.9,2
10350,12,23,32348.41,0
10351,75,1,448.02,3
10352,28,19,4354.33,1
10353,125,1,477.88,3
10354,14,19,3753.35,1
10355,73,1,128.52,3
10356,32,10,2553.64,1
10357,7,20,26819.47,0
10358,11,1,115.23,3
10359,18,25,34722.04,0
10360,18,10,1905.19,1
10361,12,1,86.87,3
10362,143,2,832.39,3
10363,355,8,2725.3,2
10364,370,7,2359.01,2
10365,11,19,3902.1,1
10366,79,4,5321.04,2
10367,30,17,5247.04,1
10368,217,9,4496.09,2
10369,310,8,5085.88,2
10370,370,5,6198.1,2
10371,278,5,2928.7799999999997,2
10372,22,29,28085.32,0
10373,23,10,1289.1200000000001,1
10374,47,24,37296.23,0
10375,14,14,3946.31,1
10376,52,12,1878.16,1
10377,137,1,588.28,3
10378,12,12,3732.57,1
10379,26,18,22750.86,0
10380,23,25,33297.86,0
10381,298,9,5534.15,2
10382,364,6,3508.52,2
10383,26,23,41341.01,0
10384,17,27,31903.24,0
10385,386,3,1591.65,2
10386,10,24,23062.41,0
10387,23,2,857.91,3
10388,257,8,3574.96,2
10389,23,18,14145.480000000001,0
10390,15,15,19050.75,0
10391,25,2,658.58,3
10392,23,17,3363.12,1
10393,28,18,4629.05,1
10394,150,2,1243.1000000000001,3
10395,112,1,650.97,3
10396,96,1,725.63,3
10397,237,3,593.57,2
10398,16,14,1979.61,1
10399,3,18,24700.74,0
10400,267,3,886.52,2
10401,280,7,3707.53,2
10402,22,18,3082.33,1
10403,137,1,205.41,3
10404,15,26,31677.760000000002,0
10405,20,17,5892.6,1
10406,20,22,23944.14,0
10407,15,13,3672.7,1
10408,8,28,41849.53,0
10409,26,17,27556.58,0
10410,19,23,26069.86,0
10411,259,8,2654.43,2
10412,289,5,2463.4,2
10413,251,6,1838.79,2
10414,66,2,806.98,3
10415,13,17,4310.39,1
10416,41,5,5771.85,1
10417,100,2,1130.12,3
10418,89,2,964.8599999999999,3
10419,63,2,1001.41,3
10420,8,17,16059.74,0
10421,72,1,598.9100000000001,3
10422,17,29,35883.53,0
10423,49,1,524.12,3
10424,21,18,3831.13,1
10425,22,2,695.98,3
10426,17,23,28742.18,0
10427,365,9,2819.13,2
10428,142,2,618.72,3
10429,12,18,3814.0,1
10430,333,9,4306.95,2
10431,243,4,2354.1200000000003,2
10432,32,12,2506.41,1
10433,396,6,4305.32,2
10434,231,9,4685.22,2
10435,72,1,692.3000000000001,3
10436,27,29,40520.94,0
10437,116,3,933.12,3
10438,47,2,695.9300000000001,3
10439,58,2,813.88,3
10440,23,11,2969.85,1
10441,289,3,1364.1,2
10442,40,3,1033.3,3
10443,43,3,2337.6,3
10444,11,16,3298.55,1
10445,16,14,3482.29,1
10446,326,6,2241.08,2
10447,15,23,29249.94,0
10448,20,2,499.22,3
10449,13,2,313.82,3
10450,274,8,4742.32,2
10451,25,18,3379.45,1
10452,43,13,3499.13,1
10453,13,1,121.36,3
10454,389,6,5716.24,2
10455,76,2,563.08,3
10456,80,2,337.51,3
10457,7,1,724.2,3
10458,29,2,552.72,3
10459,218,6,2380.74,2
10460,278,8,4241.75,2
10461,25,14,3255.54,1
10462,91,1,83.47,3
10463,24,2,843.28,3
10464,15,20,27661.59,0
10465,29,26,41231.97,0
10466,28,18,3136.4,1
10467,76,1,752.3599999999999,3
10468,51,2,936.65,3
10469,79,5,2486.57,2
10470,213,7,4402.41,2
10471,30,16,3423.28,1
10472,33,2,1445.9099999999999,3
10473,40,1,410.76,3
10474,46,2,890.98,3
10475,6,14,3517.5299999999997,1
10476,31,15,2561.41,1
10477,23,4,2402.23,1
10478,4,26,35180.79,0
10479,42,1,303.29999999999995,3
10480,149,1,455.84999999999997,3
10481,24,2,679.54,3
10482,7,1,432.38,3
10483,261,3,1312.2,2
10484,414,9,3633.96,2
10485,34,1,213.82,3
10486,129,2,1109.84,3
10487,71,5,2986.89,2
10488,44,12,2902.51,1
10489,14,17,20072.86,0
10490,95,2,840.76,3
10491,326,8,3789.2,2
10492,11,4,2214.71,1
10493,233,6,1831.56,2
10494,274,8,2092.41,2
10495,31,10,2174.9,1
10496,2,18,29281.48,0
10497,305,6,2478.76,2
10498,51,10,2936.35,1
10499,296,3,2453.67,2
